Gun,Toplam Vaka Sayisi,Yeni Vaka Sayisi
10-Mar,0,0
11-Mar,1,0
12-Mar,5,4
13-Mar,5,1
14-Mar,6,1
15-Mar,18,12
16-Mar,47,29
17-Mar,98,51
18-Mar,191,93
19-Mar,359,168
20-Mar,670,311
21-Mar,947,277
22-Mar,1236,289
23-Mar,1529,293
24-Mar,1872,343
25-Mar,2433,561
26-Mar,3629,1196
27-Mar,5698,2069
28-Mar,7402,1704
29-Mar,9217,1815
30-Mar,10827,1610
31-Mar,13531,2704
1-Nis,15679,2148
2-Nis,18135,2456
3-Nis,20921,2786
4-Nis,23934,3013
5-Nis,27069,3135
6-Nis,30217,3148
7-Nis,34109,3892
8-Nis,38226,4117
9-Nis,42282,4056
10-Nis,47029,4747
11-Nis,52168,5138
12-Nis,56956,4789
13-Nis,61049,4093
14-Nis,65111,4062
15-Nis,69392,4281
16-Nis,74193,4801
17-Nis,78546,4353
18-Nis,82329,3783
19-Nis,86306,3977
20-Nis,90980,4674
21-Nis,95591,4611
22-Nis,98674,3083
23-Nis,101720,3116
24-Nis,104912,3122
25-Nis,107773,2861
26-Nis,110130,2357
27-Nis,112261,2131
28-Nis,114653,2392
29-Nis,117589,2936
30-Nis,120204,2615
1-May,122392,2188
2-May,124375,1983
3-May,126045,1670
4-May,127659,1614
5-May,129491,1832
6-May,131744,2253
7-May,133721,1977
8-May,135569,1848
9-May,137115,1546
10-May,138657,1542
11-May,139771,1114
12-May,141475,1704
13-May,143114,1639
14-May,144749,1635
15-May,146457,1708
16-May,148067,1610
17-May,149435,1368
18-May,150593,1158
19-May,151615,1022
20-May,152587,972
21-May,153548,961
22-May,154500,952
23-May,155686,1186
24-May,156827,1141
